ID,STOCK,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,META,31/08/2023,295.799988,301.100006,295.660004,295.890015,295.283234,17229900,Yfinnce
2,META,01/09/2023,299.369995,301.73999,294.470001,296.380005,295.772217,12819800,Yfinnce
3,META,05/09/2023,297.019989,301.390015,295.51001,300.149994,299.534485,14956000,Yfinnce
4,META,06/09/2023,301.709991,303.299988,295.660004,299.170013,298.556519,15418100,Yfinnce
5,META,07/09/2023,298,307.049988,292.220001,298.670013,298.057526,33748700,Yfinnce
6,META,08/09/2023,299.220001,305.25,296.779999,297.890015,297.279114,17548000,Yfinnce
7,META,11/09/2023,301.410004,309.040009,301.279999,307.559998,306.92926,19489300,Yfinnce
8,META,12/09/2023,306.329987,308.660004,300.230011,301.660004,301.041382,13480400,Yfinnce
9,META,13/09/2023,302.359985,307.179993,301.320007,305.059998,304.434387,13210900,Yfinnce
10,META,14/09/2023,306.73999,312.869995,305.029999,311.720001,311.08075,19343100,Yfinnce
11,META,15/09/2023,311.609985,312,298.75,300.309998,299.694153,28106400,Yfinnce
12,META,18/09/2023,298.190002,303.600006,297.799988,302.549988,301.929535,14234200,Yfinnce
13,META,19/09/2023,302.480011,306.170013,299.809998,305.070007,304.444397,15924400,Yfinnce
14,META,20/09/2023,305.049988,308.059998,299.429993,299.670013,299.05545,19379500,Yfinnce
15,META,21/09/2023,295.700012,300.26001,293.269989,295.730011,295.123535,21300500,Yfinnce
16,META,22/09/2023,299.299988,305.380005,298.269989,299.079987,298.466675,25369600,Yfinnce
17,META,25/09/2023,295.640015,300.950012,293.700012,300.829987,300.213074,18987000,Yfinnce
18,META,26/09/2023,297.660004,300.299988,296.01001,298.959991,298.346924,19417200,Yfinnce
19,META,27/09/2023,300.450012,301.299988,286.790009,297.73999,297.129395,36429800,Yfinnce
20,META,28/09/2023,298.940002,306.329987,296.700012,303.959991,303.336639,22167100,Yfinnce
21,META,29/09/2023,307.380005,310.640015,299.359985,300.209991,299.59436,25356600,Yfinnce
22,META,02/10/2023,302.73999,307.179993,301.630005,306.820007,306.190796,16265600,Yfinnce
23,META,03/10/2023,304.26001,306.769989,299.640015,300.940002,300.322845,17362300,Yfinnce
24,META,04/10/2023,298.730011,306.899994,298.5,305.579987,304.953339,16880500,Yfinnce
25,META,05/10/2023,304.630005,306.209991,299.5,304.790009,304.164978,19130000,Yfinnce
26,META,06/10/2023,301.440002,316.309998,300.910004,315.429993,314.783142,21784000,Yfinnce
27,META,09/10/2023,312.5,320.329987,311.820007,318.359985,317.707123,22503700,Yfinnce
28,META,10/10/2023,319.119995,324.660004,318.160004,321.839996,321.179993,19038000,Yfinnce
29,META,11/10/2023,323.01001,328.839996,322.950012,327.820007,327.147766,22036300,Yfinnce
30,META,12/10/2023,328,330.540009,322.690002,324.160004,323.495239,20530500,Yfinnce
31,META,13/10/2023,323.529999,325.049988,312.369995,314.690002,314.044678,21341000,Yfinnce
32,META,16/10/2023,318.640015,321.820007,315.519989,321.149994,320.491394,16536100,Yfinnce
33,META,17/10/2023,318.179993,324.399994,317.299988,324,323.335571,16387800,Yfinnce
34,META,18/10/2023,321.390015,325.940002,315.559998,316.970001,316.319977,16851000,Yfinnce
35,META,19/10/2023,319.880005,321.890015,311.75,312.809998,312.168518,18709200,Yfinnce
36,META,20/10/2023,314.140015,315.299988,306.470001,308.649994,308.017029,22287400,Yfinnce
37,META,23/10/2023,309.5,317.359985,307.26001,314.01001,313.366058,17796800,Yfinnce
38,META,24/10/2023,316.779999,318.350006,310.630005,312.549988,311.909027,19525500,Yfinnce
39,META,25/10/2023,310,310.880005,298.839996,299.529999,298.915741,42192500,Yfinnce
40,META,26/10/2023,295,295,279.399994,288.350006,287.758667,66684100,Yfinnce
41,META,27/10/2023,294.480011,299.309998,292.970001,296.730011,296.12149,29596300,Yfinnce
42,META,30/10/2023,299.089996,309.399994,299.049988,302.660004,302.039307,28435100,Yfinnce
43,META,31/10/2023,303.309998,303.679993,296.859985,301.269989,300.652191,19434200,Yfinnce
44,META,01/11/2023,301.850006,312.73999,301.850006,311.850006,311.21048,20434600,Yfinnce
45,META,02/11/2023,317.299988,318.820007,308.329987,310.869995,310.232483,21631800,Yfinnce
46,META,03/11/2023,312.549988,315.549988,311.019989,314.600006,313.954865,16754100,Yfinnce
47,META,06/11/2023,315.980011,318.329987,314.450012,315.799988,315.152374,12887700,Yfinnce
48,META,07/11/2023,317.059998,321,315.119995,318.820007,318.166199,14055600,Yfinnce
49,META,08/11/2023,318.140015,321.329987,314.880005,319.779999,319.124237,13609700,Yfinnce
50,META,09/11/2023,319.420013,324.179993,318.799988,320.549988,319.892639,16103100,Yfinnce
51,META,10/11/2023,319.940002,329.100006,319.459991,328.769989,328.095795,19096200,Yfinnce
52,META,13/11/2023,326.200012,332.329987,325.700012,329.190002,328.514923,16908900,Yfinnce
53,META,14/11/2023,334.540009,338.100006,333.329987,336.309998,335.620331,17179400,Yfinnce
54,META,15/11/2023,337.929993,338.399994,330.019989,332.709991,332.02771,14531200,Yfinnce
55,META,16/11/2023,329.369995,334.579987,326.380005,334.190002,333.504669,18932600,Yfinnce
56,META,17/11/2023,330.26001,335.5,329.350006,335.040009,334.352936,14494400,Yfinnce
57,META,20/11/2023,334.890015,341.869995,334.190002,339.970001,339.272827,16960500,Yfinnce
58,META,21/11/2023,338.329987,339.899994,335.899994,336.980011,336.288971,12027900,Yfinnce
59,META,22/11/2023,339.209991,342.920013,338.579987,341.48999,340.789703,10702700,Yfinnce
60,META,24/11/2023,340.130005,341.859985,336.769989,338.230011,337.536407,5467500,Yfinnce
61,META,27/11/2023,336.179993,339.899994,334.200012,334.700012,334.013641,15684500,Yfinnce
62,META,28/11/2023,333.399994,339.380005,333.399994,338.98999,338.29483,12637200,Yfinnce
63,META,29/11/2023,339.690002,339.899994,330.779999,332.200012,331.518768,16024500,Yfinnce
64,META,30/11/2023,331.890015,333.5,322.399994,327.149994,326.479095,23146400,Yfinnce
65,META,01/12/2023,325.480011,326.859985,320.76001,324.820007,324.1539,15264700,Yfinnce
66,META,04/12/2023,317.290009,320.859985,313.660004,320.019989,319.363739,19037100,Yfinnce
67,META,05/12/2023,318.980011,321.880005,315.390015,318.290009,317.637299,16952100,Yfinnce
68,META,06/12/2023,321.929993,322.25,317.040009,317.450012,316.799011,11294300,Yfinnce
69,META,07/12/2023,317.769989,328.23999,317.769989,326.589996,325.920227,15905100,Yfinnce
70,META,08/12/2023,323.089996,333.170013,323,332.75,332.067596,14077500,Yfinnce
71,META,11/12/2023,329.399994,329.890015,320,325.279999,324.612946,25802500,Yfinnce
72,META,12/12/2023,324.600006,334.470001,324.559998,334.220001,333.534607,18485500,Yfinnce
73,META,13/12/2023,333.929993,338.369995,332.640015,334.73999,334.053528,16353300,Yfinnce
74,META,14/12/2023,333.850006,334.700012,328.640015,333.170013,332.486786,19607300,Yfinnce
75,META,15/12/2023,331.98999,338.660004,331.220001,334.920013,334.233185,30001600,Yfinnce
76,META,18/12/2023,337.480011,347.559998,337.019989,344.619995,343.913269,18993900,Yfinnce
77,META,19/12/2023,345.579987,353.600006,345.119995,350.359985,349.64151,17729400,Yfinnce
78,META,20/12/2023,348.649994,354.959991,347.790009,349.279999,348.563721,16369900,Yfinnce
79,META,21/12/2023,352.980011,356.410004,349.209991,354.089996,353.363861,15289600,Yfinnce
80,META,22/12/2023,355.579987,357.200012,351.220001,353.390015,352.665314,11764200,Yfinnce
81,META,26/12/2023,354.98999,356.980011,353.450012,354.829987,354.102356,9898600,Yfinnce
82,META,27/12/2023,356.070007,359,355.309998,357.829987,357.096161,13207900,Yfinnce
83,META,28/12/2023,359.700012,361.899994,357.809998,358.320007,357.585175,11798800,Yfinnce
84,META,29/12/2023,358.98999,360,351.820007,353.959991,353.234131,14980500,Yfinnce
85,META,02/01/2024,351.320007,353.160004,340.01001,346.290009,345.579865,19042200,Yfinnce
86,META,03/01/2024,344.980011,347.950012,343.179993,344.470001,343.76358,15451100,Yfinnce
87,META,04/01/2024,344.5,348.149994,343.399994,347.119995,346.408142,12099900,Yfinnce
88,META,05/01/2024,346.98999,353.5,346.26001,351.950012,351.228271,13920700,Yfinnce
89,META,08/01/2024,354.700012,358.980011,352.049988,358.660004,357.9245,13890200,Yfinnce
90,META,09/01/2024,356.399994,360.640015,355.359985,357.429993,356.696991,13463900,Yfinnce
91,META,10/01/2024,360.170013,372.940002,359.079987,370.470001,369.710266,22117200,Yfinnce
92,META,11/01/2024,372.130005,372.779999,362.929993,369.670013,368.911926,17205400,Yfinnce
93,META,12/01/2024,370.160004,377.059998,369.540009,374.48999,373.722015,19295700,Yfinnce
94,META,16/01/2024,373.649994,375.609985,367.230011,367.459991,366.706421,15306900,Yfinnce
95,META,17/01/2024,366.299988,368.540009,358.609985,368.369995,367.614563,12724800,Yfinnce
96,META,18/01/2024,371.48999,376.850006,370.950012,376.130005,375.358673,16354300,Yfinnce
97,META,19/01/2024,379,384.359985,377.970001,383.450012,382.663666,21470100,Yfinnce
98,META,22/01/2024,387.950012,390.350006,381.160004,381.779999,380.997101,17680500,Yfinnce
99,META,23/01/2024,384.619995,388.380005,382.079987,385.200012,384.410095,15506100,Yfinnce
100,META,24/01/2024,390,396.149994,387.809998,390.700012,389.898804,15698500,Yfinnce
101,META,25/01/2024,390.170013,395.48999,385.660004,393.179993,392.373688,15091100,Yfinnce
102,META,26/01/2024,394.350006,396.790009,391.589996,394.140015,393.331726,13163700,Yfinnce
103,META,29/01/2024,394.98999,402.929993,393.100006,401.019989,400.197601,18742400,Yfinnce
104,META,30/01/2024,403.589996,406.359985,399.570007,400.059998,399.239594,18614700,Yfinnce
105,META,31/01/2024,389,398,387.100006,390.140015,389.339935,20180800,Yfinnce
106,META,01/02/2024,393.940002,400.5,393.049988,394.779999,393.970398,29727100,Yfinnce
107,META,02/02/2024,459.600006,485.959991,453.01001,474.98999,474.0159,84615500,Yfinnce
108,META,05/02/2024,469.880005,471.899994,459.220001,459.410004,458.467865,40832400,Yfinnce
109,META,06/02/2024,464,467.119995,453,454.720001,453.787476,21655200,Yfinnce
110,META,07/02/2024,458,471.519989,456.179993,469.589996,468.627014,23066000,Yfinnce
111,META,08/02/2024,468.320007,470.589996,465.029999,470,469.036163,18815100,Yfinnce
