ID,STICKER,Date,Open,High,Low,Close,Adj Close,Volume,SOURCE
1,GOOG,31/08/2023,137.050003,138.399994,136.820007,137.350006,137.193878,28147900,Yfinnce
2,GOOG,01/09/2023,138.429993,138.580002,135.940002,136.800003,136.644501,16665700,Yfinnce
3,GOOG,05/09/2023,136.440002,137.369995,135.559998,136.710007,136.554611,17730200,Yfinnce
4,GOOG,06/09/2023,137.014999,137.479996,134.690002,135.369995,135.216125,15814300,Yfinnce
5,GOOG,07/09/2023,134.600006,136.580002,133.960007,136.199997,136.045181,16976000,Yfinnce
6,GOOG,08/09/2023,135.869995,137.514999,135.869995,137.199997,137.044052,17810700,Yfinnce
7,GOOG,11/09/2023,137.380005,138.264008,136.550003,137.740005,137.583435,17180800,Yfinnce
8,GOOG,12/09/2023,137.130005,137.639999,135.929993,136.070007,135.915344,15212900,Yfinnce
9,GOOG,13/09/2023,135.899994,137.699997,134.929993,137.5,137.343704,16394900,Yfinnce
10,GOOG,14/09/2023,138.389999,139.550003,137.059998,138.990005,138.832016,19064600,Yfinnce
11,GOOG,15/09/2023,138.800003,139.360001,137.179993,138.300003,138.142807,48947600,Yfinnce
12,GOOG,18/09/2023,137.630005,139.929993,137.630005,138.960007,138.802063,16233600,Yfinnce
13,GOOG,19/09/2023,138.25,139.175003,137.5,138.830002,138.672195,15479100,Yfinnce
14,GOOG,20/09/2023,138.830002,138.839996,134.520004,134.589996,134.437012,21473500,Yfinnce
15,GOOG,21/09/2023,132.389999,133.190002,131.089996,131.360001,131.210693,22042700,Yfinnce
16,GOOG,22/09/2023,131.679993,133.009995,130.509995,131.25,131.100815,17348700,Yfinnce
17,GOOG,25/09/2023,130.770004,132.220001,130.029999,132.169998,132.01976,14650000,Yfinnce
18,GOOG,26/09/2023,130.914001,131.404999,128.190002,129.449997,129.302856,20378800,Yfinnce
19,GOOG,27/09/2023,129.440002,131.720001,129.380005,131.460007,131.310577,18764200,Yfinnce
20,GOOG,28/09/2023,130.690002,134.179993,130.690002,133.130005,132.978683,18201400,Yfinnce
21,GOOG,29/09/2023,134.080002,134.889999,131.320007,131.850006,131.700134,23224200,Yfinnce
22,GOOG,02/10/2023,132.154999,135.360001,132.065002,135.169998,135.016357,19210400,Yfinnce
23,GOOG,03/10/2023,134.929993,135.240005,132.815002,133.300003,133.148483,19628700,Yfinnce
24,GOOG,04/10/2023,133.660004,136.570007,133.429993,136.270004,136.115112,22848000,Yfinnce
25,GOOG,05/10/2023,136.130005,136.5,134.455002,135.990005,135.835434,15922900,Yfinnce
26,GOOG,06/10/2023,134.940002,139.186005,134.940002,138.729996,138.572311,20819300,Yfinnce
27,GOOG,09/10/2023,137.990005,139.970001,136.699997,139.5,139.341431,16599100,Yfinnce
28,GOOG,10/10/2023,139.509995,140.740005,138.429993,139.199997,139.041779,19554900,Yfinnce
29,GOOG,11/10/2023,139.850006,142.220001,139.839996,141.699997,141.538925,20146300,Yfinnce
30,GOOG,12/10/2023,142.160004,142.380005,139.449997,140.289993,140.130524,18173100,Yfinnce
31,GOOG,13/10/2023,140.649994,141.339996,137.970001,138.580002,138.422485,19438700,Yfinnce
32,GOOG,16/10/2023,139.729996,140.904999,139.320007,140.490005,140.330322,17345600,Yfinnce
33,GOOG,17/10/2023,140.029999,141.25,138.529007,140.990005,140.829742,17424000,Yfinnce
34,GOOG,18/10/2023,140.75,141.990005,138.705002,139.279999,139.121689,18304900,Yfinnce
35,GOOG,19/10/2023,139.800003,141.005005,138.600006,138.979996,138.822021,21831200,Yfinnce
36,GOOG,20/10/2023,138.589996,139.039993,136.244995,136.740005,136.584579,24953900,Yfinnce
37,GOOG,23/10/2023,136.229996,139.020004,135.110001,137.899994,137.743256,20780700,Yfinnce
38,GOOG,24/10/2023,139.160004,140.710007,138.75,140.119995,139.960724,26535200,Yfinnce
39,GOOG,25/10/2023,129.770004,130.100006,126.089996,126.669998,126.526016,58796100,Yfinnce
40,GOOG,26/10/2023,124.470001,125.459999,122.32,123.440002,123.29969,33907400,Yfinnce
41,GOOG,27/10/2023,124.029999,124.440002,121.459999,123.400002,123.259735,37367700,Yfinnce
42,GOOG,30/10/2023,124.459999,126.550003,123.879997,125.75,125.607063,24165600,Yfinnce
43,GOOG,31/10/2023,126.269997,126.559998,123.925003,125.300003,125.157578,21123400,Yfinnce
44,GOOG,01/11/2023,125.339996,127.739998,124.925003,127.57,127.424995,26536600,Yfinnce
45,GOOG,02/11/2023,129.559998,130.089996,128.110001,128.580002,128.433853,24091700,Yfinnce
46,GOOG,03/11/2023,129.089996,130.729996,129.009995,130.369995,130.221802,19517900,Yfinnce
47,GOOG,06/11/2023,130.220001,131.559998,129.929993,131.449997,131.300583,15360400,Yfinnce
48,GOOG,07/11/2023,131.979996,133.279999,131.139999,132.399994,132.249496,19223800,Yfinnce
49,GOOG,08/11/2023,132.360001,133.539993,132.160004,133.259995,133.108521,15093600,Yfinnce
50,GOOG,09/11/2023,133.360001,133.960007,131.509995,131.690002,131.540314,17976500,Yfinnce
51,GOOG,10/11/2023,131.529999,134.270004,130.869995,134.059998,133.907623,20872900,Yfinnce
52,GOOG,13/11/2023,133.360001,134.110001,132.770004,133.639999,133.488098,16409900,Yfinnce
53,GOOG,14/11/2023,135.649994,137.240005,135.100006,135.429993,135.276062,22317300,Yfinnce
54,GOOG,15/11/2023,136.639999,136.839996,135.330002,136.380005,136.224991,15840900,Yfinnce
55,GOOG,16/11/2023,136.960007,138.880005,136.080002,138.699997,138.542343,17615100,Yfinnce
56,GOOG,17/11/2023,137.820007,138,135.479996,136.940002,136.784348,25565300,Yfinnce
57,GOOG,20/11/2023,135.5,138.425003,135.490005,137.919998,137.763229,19569400,Yfinnce
58,GOOG,21/11/2023,137.940002,138.964996,137.705002,138.619995,138.462433,17648100,Yfinnce
59,GOOG,22/11/2023,139.100006,141.100006,139,140.020004,139.860855,17306400,Yfinnce
60,GOOG,24/11/2023,139.539993,139.677002,137.470001,138.220001,138.062897,8828600,Yfinnce
61,GOOG,27/11/2023,137.570007,139.630005,137.539993,138.050003,137.893082,17886400,Yfinnce
62,GOOG,28/11/2023,137.630005,138.660004,137.039993,138.619995,138.462433,17046900,Yfinnce
63,GOOG,29/11/2023,138.985001,139.669998,136.294998,136.399994,136.244949,21014700,Yfinnce
64,GOOG,30/11/2023,136.399994,136.960007,132.789993,133.919998,133.767776,29913500,Yfinnce
65,GOOG,01/12/2023,133.320007,133.5,132.151993,133.320007,133.168472,24258400,Yfinnce
